Accident_Severity	Day_of_Week	Weather_Conditions	Road_Surf	Light_Conditions
fatal	Sat	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Fri	Fine	Dry	Day
fatal	Sat	Rain	Wet	Day
fatal	Mon	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Fri	Rain	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Thu	Fine	Wet	Day
fatal	Sun	Fine+hw	Dry	Day
fatal	Sat	Rain	Wet	Day
fatal	Fri	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Wed	Fine	Wet	Day
fatal	Sun	Rain	Wet	Day
fatal	Tue	Fine	Dry	Day
fatal	Thu	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Wed	Rain	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Fine	Wet	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Wed	Rain	Wet	Day
fatal	Tue	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Tue	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Mon	Rain	Wet	Day
fatal	Tue	Fine	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Fine	Wet	Day
fatal	Tue	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Thu	Fine	Wet	Day
fatal	Mon	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Other	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Other	Frost	Day
fatal	Mon	Rain+hw	Wet	Day
fatal	Mon	Rain+hw	Wet	Day
fatal	Mon	Rain	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Fri	Rain	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Tue	Fine	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Tue	Rain	Wet	Day
fatal	Fri	Fine	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Wed	Fine	Wet	Day
fatal	Fri	Fine+hw	Wet	Day
fatal	Fri	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Thu	Rain	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Thu	Fine	Wet	Day
fatal	Wed	Fine	Wet	Day
fatal	Sun	Fine	Wet	Day
fatal	Tue	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Mon	Fine	Wet	Day
fatal	Sun	Fine	Dry	Day
fatal	Thu	Fine	Wet	Day
fatal	Thu	Fine	Wet	Day
fatal	Tue	Fine	Wet	Day
fatal	Sat	Fine+hw	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Thu	Fine	Wet	Day
fatal	Tue	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Rain	Wet	Day
fatal	Tue	Other	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Fri	Unkn	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Fri	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Thu	Unkn	Other	Day
fatal	Sat	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Fri	Fine	Wet	Day
fatal	Fri	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Mon	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Thu	Fine	Frost	Day
fatal	Thu	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Tue	Fine	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Sat	Rain	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Fri	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Thu	Fine	Wet	Day
fatal	Tue	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Sat	Unkn	Wet	Day
fatal	Sat	Fine	Other	Day
fatal	Thu	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Mon	Rain	Wet	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Wed	Fine	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Fri	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Fri	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Sat	Fine	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Sat	Rain	Wet	Day
fatal	Sun	Fine	Wet	Day
fatal	Fri	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Thu	Other	Wet	Day
fatal	Tue	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Rain	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Rain	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Fri	Other	Wet	Day
fatal	Tue	Fine	Dry	Day
fatal	Thu	Rain	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Wet	Day
fatal	Sun	Fog/Mist	Dry	Day
fatal	Mon	Fine	Wet	Day
fatal	Mon	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Tue	Fine	Wet	Day
fatal	Sun	Fine	Wet	Day
fatal	Sat	Fine	Wet	Day
fatal	Sun	Rain	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Rain	Wet	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Wed	Fine	Wet	Day
fatal	Thu	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Mon	Rain	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Tue	Fine	Wet	Day
fatal	Thu	Fine	Wet	Day
fatal	Mon	Rain	Wet	Day
fatal	Fri	Fine	Wet	Day
fatal	Sat	Rain	Wet	Day
fatal	Wed	Fine	Wet	Day
fatal	Wed	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Tue	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Sat	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Mon	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
fatal	Wed	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Thu	Fine	Dry	Day
fatal	Mon	Rain	Wet	Day
fatal	Sun	Fine	Dry	Day
fatal	Sun	Fine	Dry	Day
fatal	Fri	Fine	Dry	Day
